,keypoints
39,"[[119.14851496 154.61334597]
 [130.92045057 145.82953094]
 [117.53775674 145.73233432]
 [143.59334162 148.90352199]
 [113.8701853  148.31831796]
 [162.38592194 186.06030562]
 [108.79032539 179.82494729]
 [198.96299839 237.83097684]
 [ 95.04688932 137.33934244]
 [153.75711146 276.72025686]
 [ 94.07199645  68.43202103]
 [139.68090324 291.15803288]
 [ 95.64699674 284.68095936]
 [142.48608807 382.3958895 ]
 [ 95.72418799 365.81639965]
 [147.51328581 453.09616179]
 [104.96339127 440.81783873]]"
40,"[[119.14503615 154.53679888]
 [130.8714216  146.05386914]
 [117.42684237 145.9553399 ]
 [143.7734559  148.83582569]
 [113.58000522 148.41188589]
 [162.7739961  186.18365451]
 [109.25920082 179.75747983]
 [198.93263437 237.80208177]
 [ 95.31796857 137.08930829]
 [153.58914141 276.91205707]
 [ 93.72132018  68.58622687]
 [139.51311936 291.11539845]
 [ 96.54564397 284.62637316]
 [142.6145691  382.51231381]
 [ 95.97903486 366.14309479]
 [147.79217041 453.03739791]
 [105.01006805 440.75310171]]"
41,"[[119.24114583 154.59954073]
 [130.89289213 145.61679934]
 [117.85452784 145.48194471]
 [143.56559254 148.80028121]
 [114.47197271 147.91164329]
 [162.31447306 185.94110421]
 [109.36181747 179.82296756]
 [199.66156321 237.98666215]
 [ 96.01616552 137.55909262]
 [153.69979903 276.74395506]
 [ 94.99981375  67.3964926 ]
 [140.04365848 290.26638729]
 [ 95.92185707 283.52603845]
 [142.39298457 381.1202424 ]
 [ 95.382477   363.83948584]
 [147.32095104 452.7622415 ]
 [104.50609264 440.83664303]]"
42,"[[119.27515628 154.71179973]
 [130.8321737  145.59108693]
 [117.78328093 145.47641521]
 [143.62543233 148.85180485]
 [114.48761808 148.00498751]
 [162.45295704 186.13463624]
 [109.41511526 179.89612064]
 [199.61505268 237.96224943]
 [ 95.75863329 137.57243261]
 [153.48682977 276.72043854]
 [ 95.13216653  67.23722079]
 [139.87899481 290.27792871]
 [ 95.78514342 283.75571059]
 [142.38804664 381.21791662]
 [ 95.3715305  363.548493  ]
 [147.28329004 452.51858845]
 [104.30687993 440.89942605]]"
43,"[[121.25393827 154.55545016]
 [130.2784219  143.11496054]
 [119.6160137  144.97602713]
 [144.57705275 148.91167558]
 [115.83409287 147.79222572]
 [162.68513119 185.35318963]
 [110.43539581 179.98394427]
 [199.44885432 238.48755391]
 [ 95.59865681 137.41656613]
 [153.6313     276.95494162]
 [ 95.4225345   67.91621997]
 [139.63100732 290.80643094]
 [ 94.00226294 283.51859235]
 [142.4017338  381.66005343]
 [ 95.34586947 364.32440976]
 [147.332646   452.39174536]
 [104.39994222 440.85327581]]"
44,"[[121.01060019 154.60054123]
 [130.36927902 143.10298749]
 [119.43734068 145.30949109]
 [144.51892214 149.06435254]
 [115.97234586 147.93428421]
 [162.69523513 185.36661608]
 [110.44050136 179.82498332]
 [199.43815547 238.42954418]
 [ 96.11080921 137.59230809]
 [153.64723973 277.04036059]
 [ 95.62176369  68.91146451]
 [139.72541195 290.61090202]
 [ 95.91502723 283.82852262]
 [142.23539668 381.68879066]
 [ 95.44588732 363.74623564]
 [147.36302513 452.63375562]
 [104.3814449  440.85047915]]"
45,"[[121.7554035  154.6265844 ]
 [130.90166334 143.45777209]
 [119.736462   145.38474672]
 [145.3999287  149.33053603]
 [115.82688949 148.37469038]
 [163.38998564 186.03599377]
 [111.00382126 180.23550456]
 [199.0059573  238.68265806]
 [ 96.65255039 137.07726113]
 [154.13572126 277.39124938]
 [ 95.89142985  70.17376548]
 [139.70402936 290.60008798]
 [ 96.30256006 284.11763524]
 [142.27249162 382.05416628]
 [ 95.35786944 363.96192379]
 [147.36081447 452.46406263]
 [104.32879149 440.69248404]]"
46,"[[121.53125383 154.56391803]
 [130.79455804 143.37252794]
 [119.65958676 145.25931106]
 [145.04952172 149.37712716]
 [115.70342196 148.31486906]
 [162.9825448  185.95364132]
 [110.56902498 180.1141474 ]
 [198.95647631 238.69714539]
 [ 96.21550154 137.39995702]
 [154.22519482 277.39525344]
 [ 95.65401069  69.88712666]
 [139.64811972 290.3565015 ]
 [ 96.11880828 283.86561656]
 [142.16664621 381.73716184]
 [ 95.36714867 363.95392082]
 [147.37777435 452.65494863]
 [104.54137948 440.63945862]]"
47,"[[122.40475388 154.72458663]
 [131.62474196 143.45877396]
 [120.39507821 144.8373901 ]
 [145.6096692  149.55371865]
 [115.44358358 148.14540183]
 [162.95090885 186.1144355 ]
 [110.61646429 180.16387007]
 [199.10101592 238.88969134]
 [ 95.62687268 137.20472936]
 [154.66343625 277.32220552]
 [ 95.01209332  69.57143627]
 [139.65875125 290.29796682]
 [ 96.57017425 283.86468674]
 [142.28145106 381.54414926]
 [ 95.78899525 364.32035664]
 [147.23243786 452.36107712]
 [104.56842544 440.74471962]]"
48,"[[122.16380507 154.58496694]
 [131.46180533 143.4586079 ]
 [120.15138428 144.68672649]
 [145.76307277 149.41606977]
 [115.5820363  147.82787998]
 [163.36966098 185.95422186]
 [110.85834051 179.7633322 ]
 [199.22132339 238.82829447]
 [ 96.21594566 136.87918979]
 [154.97109797 277.40568765]
 [ 95.14560364  69.33357486]
 [139.55607689 290.47389474]
 [ 97.03236273 283.98036034]
 [142.32439211 381.78680662]
 [ 95.96135434 364.6789511 ]
 [147.22710149 452.43956962]
 [104.63768288 440.74192913]]"
