,keypoints
39,"[[148.2614761   47.16549098]
 [153.35309339  43.28456329]
 [147.43971207  43.31614849]
 [165.1075286   42.9631275 ]
 [144.77446382  45.53644011]
 [187.31739725  58.85581733]
 [135.69473759  61.2663807 ]
 [236.96826951  57.80892865]
 [ 92.3779268   64.44103932]
 [283.38947913  60.33136762]
 [ 34.905324    68.98133179]
 [189.00575713 120.48596547]
 [147.64736951 124.94039325]
 [192.64380902 178.88088713]
 [140.03841511 168.03348328]
 [190.70901095 212.37241094]
 [140.27451768 214.33823487]]"
40,"[[146.92827343  46.94973556]
 [152.48374781  42.07538677]
 [143.17224324  40.41700949]
 [165.08566868  42.21064009]
 [143.93569891  44.81191925]
 [186.52058965  57.80493217]
 [135.56022191  60.50082549]
 [234.24094703  55.42580532]
 [ 92.65226724  62.17008242]
 [272.09866278  56.10131224]
 [ 41.70039323  63.56887686]
 [189.01490204 120.66327397]
 [147.15987621 123.93443022]
 [191.82840419 178.97255529]
 [139.69227027 170.21606053]
 [200.28793572 210.98046711]
 [138.99612257 213.74205612]]"
41,"[[146.94175063  47.02175915]
 [152.55038036  42.04925912]
 [143.13169056  40.51325364]
 [165.10874083  42.26567499]
 [143.93156574  44.86119382]
 [186.4713818   57.8397401 ]
 [135.60564573  60.49429828]
 [234.52078827  55.50786354]
 [ 92.7654299   62.12704132]
 [272.28093325  56.14617723]
 [ 41.62903149  63.3295    ]
 [188.7905646  120.76023436]
 [147.21906986 123.91635487]
 [192.06253099 179.17935108]
 [139.51156521 169.7086195 ]
 [190.62359347 211.96055715]
 [139.33613055 213.77028041]]"
42,"[[148.23647123  48.88874677]
 [153.76857611  42.34604967]
 [144.37200455  41.0231118 ]
 [165.88331044  42.41986965]
 [143.67033788  44.78421731]
 [187.92804069  56.13315609]
 [135.00829115  62.33547651]
 [234.19188313  58.30092345]
 [ 88.99015674  58.11307914]
 [271.79236696  55.88432121]
 [ 41.56821591  55.10575498]
 [190.6120288  121.56189108]
 [146.57751511 123.69664357]
 [200.95126631 180.80919588]
 [141.60117953 191.82442001]
 [199.81353348 211.90865635]
 [139.93330621 214.58382856]]"
43,"[[148.36434653  49.28174243]
 [154.15602674  42.4856348 ]
 [144.15203439  41.15070639]
 [166.27173214  42.78921627]
 [143.62271899  44.76540835]
 [188.09922614  56.17967277]
 [135.2732344   62.39414906]
 [234.74080082  58.26448263]
 [ 89.25670175  57.85639671]
 [271.96089855  56.01342353]
 [ 41.70572586  55.56770377]
 [190.75895072 121.38730991]
 [146.89628712 123.52446471]
 [200.8325561  180.7618226 ]
 [139.90016652 171.20993385]
 [189.99285195 213.12574663]
 [140.10425016 214.87499553]]"
44,"[[148.59972728  48.84026513]
 [154.36714564  41.90959911]
 [144.7468024   40.93350121]
 [166.7122833   41.51710846]
 [143.84351255  44.12550301]
 [186.7374956   54.74897733]
 [134.83624664  62.78097633]
 [236.60529532  57.58592987]
 [ 86.78934806  56.30186153]
 [272.81918493  54.13176964]
 [ 39.15864695  52.69736639]
 [190.35073771 122.62326667]
 [146.60303998 125.00766938]
 [201.4197621  181.52115375]
 [141.38958535 193.33265835]
 [189.84764883 214.29021299]
 [139.80164957 215.17579703]]"
45,"[[148.63448519  48.77301359]
 [154.36120186  41.96715315]
 [144.69062386  40.92761283]
 [166.66019487  41.55242065]
 [143.98352635  44.18015085]
 [186.65437477  54.90583729]
 [134.84998822  62.73530611]
 [236.47933659  57.81340119]
 [ 87.58598747  56.3488615 ]
 [272.03542946  54.27568478]
 [ 39.57997591  52.86153057]
 [190.27568544 122.6949278 ]
 [146.42291682 125.13766085]
 [201.42524608 181.97157899]
 [141.19642091 193.27790054]
 [190.2162597  214.08914533]
 [139.91250111 215.09943656]]"
46,"[[148.8588455   49.11024943]
 [154.59188604  41.59155063]
 [146.70881184  43.10691639]
 [167.10151023  41.76978427]
 [143.73741039  44.12434979]
 [188.02728317  55.53749716]
 [135.10475663  62.23504343]
 [240.09889888  57.81306839]
 [ 88.92406018  55.40188789]
 [273.46478742  53.66074049]
 [ 40.95802992  50.04295218]
 [189.91353534 122.05483219]
 [146.30986886 125.32570122]
 [193.13603152 182.07635656]
 [141.62415346 191.43352607]
 [190.33394335 213.3217268 ]
 [139.43805683 215.29556432]]"
47,"[[148.71240996  49.00355392]
 [154.56694407  41.44131845]
 [146.53270413  42.96225824]
 [167.12408458  41.75068448]
 [143.71298675  44.21336641]
 [193.67619313  57.4545855 ]
 [135.18828176  62.36366246]
 [240.07883175  57.8916134 ]
 [ 89.0310029   55.53751886]
 [273.20814076  53.50212538]
 [ 41.39989489  50.60210445]
 [189.83027391 122.25219492]
 [146.29352051 125.12964183]
 [192.99033865 181.81527901]
 [141.53222005 190.83146401]
 [190.00407152 213.54002985]
 [139.48753747 215.15296989]]"
48,"[[147.91021861  48.60880456]
 [154.22079721  40.70157038]
 [143.24556596  40.9492079 ]
 [166.59239179  41.27175061]
 [143.29583805  44.22963669]
 [193.13344694  57.835842  ]
 [135.62601693  62.25295961]
 [242.39501557  57.39238094]
 [ 88.48338365  54.95737707]
 [272.80675448  53.97409071]
 [ 41.65727144  48.72583324]
 [190.28116942 122.09065081]
 [146.12291965 125.19749674]
 [192.85078365 181.91559344]
 [140.91945856 190.38744407]
 [189.74138925 212.80579215]
 [139.46438055 214.32350451]]"
49,"[[148.21894024  48.47509731]
 [154.45525163  40.56249059]
 [143.27823307  40.91227295]
 [166.75743736  41.06088816]
 [143.10582664  44.2259578 ]
 [193.22691146  57.64362355]
 [135.41601507  62.33297907]
 [241.80685835  57.36265182]
 [ 88.54361093  54.99699251]
 [271.98686204  54.26415364]
 [ 41.60299198  48.64212115]
 [190.46096093 122.1400784 ]
 [146.19686463 125.30370896]
 [201.32452161 181.60841449]
 [140.82507612 190.78433491]
 [199.53077467 212.63735873]
 [139.43778505 214.76525563]]"
