,keypoints
21,"[[ 93.87101816 111.70384047]
 [101.79579095 102.06101617]
 [ 90.58560699 103.41554476]
 [118.80178111 107.08578948]
 [ 86.06762049 108.33076506]
 [139.34217973 149.73737396]
 [ 81.12243007 150.22799647]
 [142.05259625 209.41982102]
 [ 80.60972232 209.99382764]
 [111.49898494 262.32261813]
 [ 90.80504868 251.32724845]
 [131.46925454 236.64653466]
 [ 93.0645822  241.22979355]
 [156.26057127 327.42057473]
 [ 69.91189459 316.77180587]
 [163.03106924 399.61605181]
 [ 72.73002263 375.60377169]]"
22,"[[ 92.02949642 114.49213889]
 [ 99.09357032 107.58632886]
 [ 88.36000225 109.48969202]
 [117.83044294 112.45572479]
 [ 85.24915757 114.68515038]
 [136.91403322 154.3772311 ]
 [ 78.67010669 151.59534837]
 [139.57257582 211.7309071 ]
 [ 85.71166237 211.29023236]
 [111.43124266 265.34798041]
 [ 91.17856677 252.94576054]
 [132.49906503 239.13361029]
 [ 93.6120907  244.20844975]
 [156.21673232 328.44404197]
 [ 65.05890218 316.107952  ]
 [163.81773149 397.78741557]
 [ 68.74245179 375.38104346]]"
23,"[[ 92.1263045  114.30773029]
 [ 99.22189787 107.51252123]
 [ 88.49683589 109.39799627]
 [117.96795996 112.32677246]
 [ 85.44661081 114.55156148]
 [137.55230067 154.25118314]
 [ 78.64526644 151.66055474]
 [139.4525328  211.65313957]
 [ 85.88807909 210.9732413 ]
 [111.37606046 265.18203161]
 [ 91.0513401  252.91796412]
 [132.34173332 238.97815622]
 [ 93.52502986 244.10406931]
 [156.12804682 328.58676468]
 [ 65.18437226 316.18243083]
 [163.37596067 397.87021359]
 [ 68.69398661 375.56139746]]"
24,"[[ 90.88904813 118.40299249]
 [ 95.6957013  112.81933426]
 [ 86.32947206 113.9938459 ]
 [116.67364284 115.90339741]
 [ 83.75795998 118.64443342]
 [134.47866869 153.11100457]
 [ 77.71240214 155.10894076]
 [140.51863392 214.56015029]
 [ 70.60731775 215.48566384]
 [111.52089575 266.64911983]
 [ 87.92830054 255.82339084]
 [132.07485202 238.51549175]
 [ 87.25575512 243.30850938]
 [156.27344625 327.62792185]
 [ 68.65438704 306.76993678]
 [165.43798832 399.98595471]
 [ 70.52706739 379.70556179]]"
25,"[[ 90.9676112  118.43815245]
 [ 95.71332458 112.78111071]
 [ 86.33767862 113.98941213]
 [116.7228802  115.84440259]
 [ 83.76711148 118.71287291]
 [134.46022908 153.07577804]
 [ 77.71855156 155.01824492]
 [140.40714465 214.47667696]
 [ 70.65567615 215.13739963]
 [111.49609015 266.64201262]
 [ 88.03239824 255.75446546]
 [132.07270825 238.5646822 ]
 [ 87.22829197 243.63618355]
 [156.47838136 328.30806478]
 [ 68.43450055 307.06743483]
 [166.11532972 399.98739592]
 [ 70.50531118 379.43582002]]"
26,"[[ 87.09080293 124.09453776]
 [ 95.07008354 117.16873022]
 [ 85.31958905 117.56802328]
 [113.78659719 121.20423509]
 [ 81.88152121 123.55495539]
 [132.91596636 158.57565652]
 [ 75.58891892 159.79064677]
 [142.21356478 225.58332137]
 [ 71.06430753 219.92212894]
 [112.08252166 269.99978035]
 [ 81.59766153 261.2568676 ]
 [132.92907262 242.3589215 ]
 [ 87.99737225 248.59195427]
 [154.5074683  327.31942774]
 [ 61.21400987 308.42653135]
 [174.53200432 400.52872558]
 [ 67.28946762 377.85907654]]"
27,"[[ 87.14342354 124.01063344]
 [ 95.17282781 117.16445944]
 [ 85.43081176 117.49744051]
 [113.94932148 121.38642835]
 [ 81.79916506 123.40289022]
 [133.30146477 158.73667296]
 [ 80.34800069 162.1591073 ]
 [142.33536839 225.45391471]
 [ 82.32452484 218.1479463 ]
 [112.01159806 270.16563444]
 [ 90.21094571 255.69761328]
 [133.51589351 253.99964698]
 [ 87.54930024 252.02442216]
 [154.60935392 331.4285728 ]
 [ 61.50218774 308.95033182]
 [174.73805528 400.64134011]
 [ 67.54763559 377.9313565 ]]"
28,"[[ 88.16304681 127.9583345 ]
 [ 96.88518136 121.19817036]
 [ 86.0355506  121.49438367]
 [113.42950587 124.66698857]
 [ 79.14568667 125.10020712]
 [132.70977121 165.73271738]
 [ 78.11560779 163.19947886]
 [142.7571889  228.77463382]
 [ 72.46490843 224.95880387]
 [115.03017808 277.21158511]
 [ 84.81101557 267.23719401]
 [134.15149124 254.08212382]
 [ 87.35753379 252.73280121]
 [154.67102174 331.41122067]
 [ 63.73225761 303.30999298]
 [171.67133944 399.10434238]
 [ 68.38896372 377.28929334]]"
29,"[[ 88.11341694 128.02332058]
 [ 96.87210151 121.2557905 ]
 [ 86.03163824 121.55435366]
 [113.28432523 124.63393964]
 [ 79.10392418 125.11789554]
 [132.49190387 165.73899898]
 [ 78.06104666 163.11177936]
 [142.75505646 228.78506267]
 [ 72.45174595 225.09575147]
 [115.12201558 277.06417023]
 [ 84.92995104 266.82522708]
 [134.04994547 254.34339404]
 [ 87.47230168 253.28128278]
 [154.37113578 332.32543104]
 [ 63.51429098 303.35103169]
 [171.12517905 399.09805323]
 [ 68.50418517 377.27567051]]"
30,"[[ 86.70921855 134.52937559]
 [ 93.74708678 127.20446114]
 [ 82.77198128 127.56112485]
 [112.88731756 130.09481871]
 [ 82.30360961 133.15003731]
 [131.53084355 171.74035088]
 [ 74.21514144 171.43970346]
 [141.93560129 227.79191653]
 [ 71.4059843  228.25926544]
 [118.11197693 280.08552184]
 [ 85.85335564 273.80464614]
 [137.72275888 254.53781148]
 [ 87.30589411 256.72873281]
 [155.65768549 333.41631759]
 [ 62.62244715 318.37814727]
 [172.67923696 400.12774614]
 [ 68.29640068 377.49503592]]"
31,"[[ 86.68893372 134.61440954]
 [ 93.6698125  127.28951843]
 [ 82.76968491 127.68347645]
 [112.90305763 130.05238478]
 [ 82.22772409 133.16387633]
 [131.61168517 171.69000266]
 [ 74.31226606 171.3684145 ]
 [141.8294951  227.67069216]
 [ 71.28055688 228.24040896]
 [117.84904981 280.0543753 ]
 [ 85.48609592 273.67241884]
 [137.76028949 254.45786704]
 [ 87.41853755 256.82820354]
 [155.61226195 333.46701239]
 [ 62.75820292 318.30662223]
 [172.3413386  400.14902796]
 [ 68.05427768 378.11771691]]"
32,"[[ 84.87293228 139.58246372]
 [ 92.23757686 132.35996015]
 [ 81.33644169 132.70040753]
 [111.61153719 137.33692776]
 [ 79.95797151 139.97038059]
 [130.39767738 172.56217509]
 [ 75.37851245 176.41997779]
 [141.34259653 233.40350176]
 [ 72.6368097  235.33177378]
 [112.95314605 285.24622909]
 [ 84.31171186 277.55660729]
 [137.53795402 256.70910083]
 [ 93.06627149 261.12394577]
 [157.64057739 333.0969887 ]
 [ 62.02173896 319.53860431]
 [163.0127849  397.9677531 ]
 [ 66.97703825 377.29161163]]"
33,"[[ 84.5582875  139.63054504]
 [ 92.07674311 132.48988186]
 [ 81.16068337 132.73278252]
 [111.51792427 137.28867032]
 [ 79.82556302 139.85535444]
 [134.55328645 171.71483329]
 [ 75.52223087 176.27712193]
 [141.55945097 233.41533201]
 [ 72.67741935 235.48080829]
 [113.10815974 285.08459911]
 [ 84.74199816 277.93202933]
 [143.76370966 259.75792322]
 [ 93.1535749  261.16075214]
 [157.73697248 332.7564219 ]
 [ 67.21209028 331.70634072]
 [163.05472599 397.44326222]
 [ 65.77954386 384.27556981]]"
34,"[[ 85.27885413 145.05862139]
 [ 92.79162462 137.63252731]
 [ 81.55269771 137.52781896]
 [109.66077147 142.56387751]
 [ 79.90185903 143.97738955]
 [129.4327402  176.08820029]
 [ 79.5471144  181.17718966]
 [141.36613867 240.85545241]
 [ 80.96991933 240.03992697]
 [114.37165678 292.22489736]
 [ 91.56652948 279.05206035]
 [137.36692971 256.54034511]
 [ 95.65198362 264.42174145]
 [157.16087676 334.033732  ]
 [ 61.30283131 318.88068376]
 [162.73466815 404.7162167 ]
 [ 66.78069505 378.73255635]]"
35,"[[ 85.29268033 144.98382138]
 [ 92.81829211 137.69540237]
 [ 81.57091274 137.55649486]
 [109.65347186 142.62499498]
 [ 79.89520582 144.03295906]
 [129.41130818 176.0789649 ]
 [ 79.56950235 181.12991464]
 [141.02782048 240.84114054]
 [ 81.02170962 240.10909392]
 [114.07895814 292.02429783]
 [ 91.59816955 279.13251229]
 [137.3162896  255.63312871]
 [ 95.93955641 263.77536153]
 [156.95239565 332.71344717]
 [ 61.26552828 318.4437565 ]
 [164.2854541  395.61172435]
 [ 66.61954929 378.25035461]]"
36,"[[ 85.51982911 151.28683333]
 [ 93.33970354 144.13643359]
 [ 79.08491081 144.8234926 ]
 [108.03507292 146.26126805]
 [ 80.54473622 149.14490479]
 [128.08823178 184.40874571]
 [ 78.56421308 186.29471595]
 [138.74649009 248.94545521]
 [ 80.16096776 245.88120642]
 [115.67483052 293.11957046]
 [ 91.585183   282.47456726]
 [136.66872838 262.52074976]
 [ 94.5105924  272.70727794]
 [157.94876562 329.38837013]
 [ 59.30457293 318.78452918]
 [166.27829075 396.16440523]
 [ 66.01324256 378.36646921]]"
37,"[[ 85.5904022  151.23177373]
 [ 93.36276221 144.10414232]
 [ 79.13266213 144.77299683]
 [108.05590919 146.12791249]
 [ 80.49174643 149.13418221]
 [127.94746479 184.46502621]
 [ 78.61054166 186.30732514]
 [138.78132616 248.86937459]
 [ 80.27016598 245.67194456]
 [115.77088092 292.86206796]
 [ 91.42820613 282.43030231]
 [136.93056845 262.32738646]
 [ 94.73864814 272.34923273]
 [157.05169669 330.45045519]
 [ 59.63875018 318.59138824]
 [165.96697325 396.56509232]
 [ 66.73784052 378.13082502]]"
38,"[[ 83.07990954 155.93406773]
 [ 91.55327437 148.18362391]
 [ 78.81645801 148.75694974]
 [108.24455245 152.23254299]
 [ 78.97811824 155.98367236]
 [126.26227118 191.86552788]
 [ 77.72845674 192.06294029]
 [138.62304317 247.48860917]
 [ 71.50125903 249.65504955]
 [115.94624741 295.57054179]
 [ 86.59652212 296.00364505]
 [136.95826867 272.11742936]
 [ 91.75896615 275.78847502]
 [157.26107513 339.76111562]
 [ 58.78122697 319.76430005]
 [167.11907165 397.02661343]
 [ 66.94441959 377.77893172]]"
39,"[[ 82.97414854 155.84835024]
 [ 91.15372852 148.04799124]
 [ 78.78796329 148.65832726]
 [108.24365782 152.16405066]
 [ 79.04053741 155.88484949]
 [126.28205689 191.88613783]
 [ 77.63576293 192.12027081]
 [138.49123276 247.42966518]
 [ 71.5174789  249.48420237]
 [115.88742007 295.17188201]
 [ 86.39699376 295.48379075]
 [136.96160561 271.79187308]
 [ 91.90965232 275.71246731]
 [157.36685879 339.54361416]
 [ 58.94624846 319.71172757]
 [167.35077985 397.46215439]
 [ 67.2712959  377.62186487]]"
40,"[[ 82.25253102 160.67942662]
 [ 90.92306554 153.89389835]
 [ 78.92333654 154.30946555]
 [108.25861122 158.60833331]
 [ 77.36108273 161.29139765]
 [129.06391047 198.16779864]
 [ 79.77205478 198.20985374]
 [138.43144882 257.23545566]
 [ 77.19426999 258.53517721]
 [112.54646452 305.88055429]
 [ 86.03134337 302.56725397]
 [137.27139975 274.50636841]
 [ 95.64036583 281.08563295]
 [156.42052011 334.4655313 ]
 [ 58.67778566 320.04897822]
 [167.40531699 396.6161083 ]
 [ 68.05584235 378.5666652 ]]"
41,"[[ 82.10403727 160.60754471]
 [ 90.83574314 153.80724819]
 [ 78.84055991 154.22322922]
 [108.17971363 158.68502988]
 [ 77.22534497 161.22067831]
 [128.84434251 198.18744023]
 [ 79.75730363 198.19068569]
 [139.36940065 256.72088956]
 [ 77.11527577 258.57725496]
 [112.63430104 305.77258936]
 [ 86.40523564 302.49816663]
 [137.19260878 274.44658165]
 [ 95.34407336 280.96571081]
 [156.31032346 333.43395522]
 [ 58.47410971 320.03723444]
 [167.3447877  396.67926061]
 [ 68.06342151 378.6507658 ]]"
42,"[[ 80.1971286  168.22120985]
 [ 89.33006541 160.97090012]
 [ 76.94568086 160.9100597 ]
 [106.64774246 165.77174835]
 [ 75.37635069 166.93761026]
 [127.30791821 197.49310656]
 [ 77.40653502 203.29598746]
 [141.32286281 258.88285087]
 [ 70.98287633 261.28526349]
 [113.25432247 307.71458956]
 [ 94.59911563 303.77087962]
 [135.91881256 275.1727358 ]
 [ 91.18693393 280.96501388]
 [157.04584198 330.50269345]
 [ 58.49560536 320.26066818]
 [167.16849759 393.7906469 ]
 [ 67.36947725 375.95200571]]"
43,"[[ 80.19404456 168.19259709]
 [ 89.32791681 160.91169156]
 [ 76.96493412 160.85113561]
 [106.66401831 165.74654953]
 [ 75.32460171 166.95050974]
 [127.37709921 197.46778661]
 [ 77.26786648 203.30197499]
 [141.39951534 258.95203773]
 [ 70.94624635 261.36581735]
 [113.19470213 307.40513843]
 [ 94.41699197 303.857351  ]
 [135.85679938 275.3819661 ]
 [ 91.08765555 281.0541189 ]
 [157.09653273 330.48074181]
 [ 58.36608499 320.46637369]
 [166.26986895 394.23035363]
 [ 67.35561273 375.67378689]]"
44,"[[ 80.33582779 172.52595756]
 [ 89.56812729 165.73205751]
 [ 77.09143177 166.99630272]
 [107.83456364 167.43421549]
 [ 76.57084598 168.92983137]
 [125.6235136  202.06830532]
 [ 77.0063381  208.61047354]
 [140.34480945 264.09594085]
 [ 71.26057192 262.96592759]
 [113.67458364 309.25631034]
 [ 95.06100535 308.30704501]
 [135.11007064 274.11982299]
 [ 93.99378537 280.16414482]
 [156.54193855 331.94264306]
 [ 59.19888323 321.9686054 ]
 [166.31852988 394.54927213]
 [ 67.21965863 378.1943095 ]]"
45,"[[ 80.45953594 172.41623093]
 [ 89.64164064 165.6147419 ]
 [ 77.11327661 166.84564273]
 [107.92228953 167.43489629]
 [ 76.42881352 168.93108316]
 [125.67779218 201.86528663]
 [ 77.03769629 208.48610974]
 [140.17296415 264.06096413]
 [ 71.27454607 262.91800265]
 [113.59622582 309.42254326]
 [ 95.32604558 308.37964615]
 [135.1669658  274.13074322]
 [ 94.02761385 280.13781603]
 [156.50120846 331.84636358]
 [ 59.45962593 322.04804198]
 [165.87856231 394.88289505]
 [ 67.19813107 378.16745501]]"
