,keypoints
27,"[[113.87245803 126.61510951]
 [118.62197048 117.03240966]
 [112.63951052 114.61667902]
 [133.05570579 119.49924468]
 [105.49304582 117.22312197]
 [145.31790218 146.24111465]
 [ 98.94410764 151.96772571]
 [168.56179223 160.20058908]
 [ 42.91860954 159.57392964]
 [146.51351168 124.24709746]
 [ 57.26556097 113.37562027]
 [133.97422818 250.08393685]
 [ 91.53430566 256.12908827]
 [137.76957026 330.34713092]
 [ 84.565051   330.89694286]
 [145.56044451 398.50941542]
 [ 83.94383373 394.5820525 ]]"
28,"[[113.83091011 126.31269702]
 [118.39882868 116.8813616 ]
 [112.56511354 114.53969268]
 [132.75518834 119.54065901]
 [105.4800406  117.34807229]
 [145.25850574 146.42276826]
 [ 98.75121916 151.98484376]
 [168.4630976  160.4553277 ]
 [ 42.96974543 160.17069776]
 [146.44365029 123.91360212]
 [ 57.29150742 113.58951373]
 [134.00256492 250.08733359]
 [ 91.58616392 256.17517618]
 [137.70890636 330.82814185]
 [ 84.57662748 330.84428872]
 [145.42636871 398.46638889]
 [ 83.85918488 394.61042832]]"
29,"[[110.5345936  116.02911712]
 [117.68371111 109.72992623]
 [108.11412179 107.49431211]
 [134.75712392 116.75828208]
 [100.54826988 121.26584853]
 [145.54041291 150.70416032]
 [100.2832583  153.46392725]
 [171.1907329  131.85585784]
 [ 35.23772785 152.7925531 ]
 [151.0839985  106.45592765]
 [ 56.07055655 102.68178864]
 [132.95765114 251.91313536]
 [ 91.67485074 255.71462306]
 [137.53140743 330.14470038]
 [ 85.5958909  331.69948404]
 [145.18952932 397.91331871]
 [ 84.06957136 394.66407575]]"
30,"[[109.34087456 116.97155085]
 [116.69010427 110.21181337]
 [107.53236931 108.32848598]
 [133.91799336 116.75342199]
 [100.48163315 121.18704415]
 [146.36001069 151.02822076]
 [100.42895456 153.81121471]
 [170.73831988 133.0415555 ]
 [ 36.22305349 153.45901191]
 [151.19877173 106.28715921]
 [ 55.87928606 103.20652997]
 [132.96809443 251.30627649]
 [ 91.78415293 255.24647726]
 [138.2920939  329.91574141]
 [ 85.40794835 331.42260841]
 [144.50218678 397.32721708]
 [ 84.22420621 394.25968576]]"
31,"[[107.68250038 115.94792691]
 [115.45362991 110.33328095]
 [106.16760172 108.63134952]
 [132.07130384 119.5001613 ]
 [100.38064281 124.41019765]
 [147.39895652 151.57463493]
 [ 99.62012827 151.34340514]
 [169.38853901 107.90612693]
 [ 44.05941934 140.16939751]
 [156.38395043  93.94528621]
 [ 56.88444739  95.1552539 ]
 [132.77809882 251.62653956]
 [ 92.88940296 266.78248521]
 [137.53671287 327.79030741]
 [ 84.71824579 330.0197321 ]
 [144.10584625 397.63634223]
 [ 83.96346251 394.64843728]]"
32,"[[107.77540077 116.01248674]
 [115.34719019 110.40993021]
 [106.20533991 108.85226787]
 [131.93107229 119.39010552]
 [100.43836262 124.69315598]
 [147.55269874 151.50032039]
 [ 99.64357311 151.50509759]
 [169.63490773 109.88922387]
 [ 44.00152094 140.67625545]
 [156.11996042  93.95255561]
 [ 56.7069338   95.250201  ]
 [132.72643023 251.63885521]
 [ 92.90518701 266.82747208]
 [137.64069595 328.00483877]
 [ 84.73065725 330.1390639 ]
 [144.11877816 397.79182211]
 [ 84.12407518 394.80348476]]"
33,"[[109.20955361 110.95490693]
 [116.31002393 106.16952319]
 [105.99949086 103.54257347]
 [134.78911018 116.82944267]
 [ 99.62264988 118.80724038]
 [145.58612841 150.41470828]
 [ 99.84598293 149.45182437]
 [169.5511855  116.11807868]
 [ 42.46487973 132.11803441]
 [161.05945636  83.96857248]
 [ 65.31916109  83.57680517]
 [132.6117518  250.67431351]
 [ 93.72051058 266.4134973 ]
 [137.45401587 328.99545646]
 [ 84.11322873 330.03201632]
 [144.56826974 397.114683  ]
 [ 83.9727786  394.998496  ]]"
34,"[[109.52455957 111.59842746]
 [116.54158453 106.72472571]
 [106.33971225 104.05220406]
 [134.59836247 117.15378391]
 [ 99.37301186 118.74427324]
 [145.21550977 150.06959599]
 [ 99.74237503 149.16444665]
 [172.88167876 139.57660809]
 [ 42.72786816 132.34917164]
 [156.56994826  86.44249653]
 [ 65.2269011   83.56367962]
 [132.62523981 250.63938735]
 [ 93.76901159 266.6029218 ]
 [137.49270365 329.42702418]
 [ 84.25349393 330.03321821]
 [144.49646384 397.40605047]
 [ 84.02847392 394.9884346 ]]"
35,"[[108.79927292 113.88862964]
 [116.05835109 107.74407391]
 [105.57637022 105.02437436]
 [136.37048706 117.40841823]
 [ 96.72047973 117.38130889]
 [146.76605115 149.14059314]
 [ 98.55539591 149.56613583]
 [172.39477486 117.57769282]
 [ 42.51847326 126.22094047]
 [160.14647106  77.85380395]
 [ 55.76445286  78.03554735]
 [132.2794944  251.93695503]
 [ 93.47599308 266.24847546]
 [137.03210439 330.21454303]
 [ 84.35523329 330.64753127]
 [144.73175588 397.34019894]
 [ 84.04086639 395.21602831]]"
36,"[[108.8427587  114.19732929]
 [116.16480513 107.81820609]
 [105.55407557 105.11050064]
 [136.60240884 117.23884644]
 [ 96.52349497 117.30290237]
 [146.80089788 149.18817859]
 [ 98.69521064 149.69966797]
 [172.32508141 117.84241962]
 [ 42.29233072 126.32189292]
 [159.88790345  77.98327381]
 [ 55.87235363  77.96496284]
 [132.35261359 252.08419812]
 [ 93.40867197 266.13634537]
 [137.06782508 330.07053815]
 [ 84.31235659 330.54623898]
 [144.76092632 397.26741648]
 [ 84.13333897 395.01443841]]"
37,"[[109.68759723 115.98379041]
 [116.59862229 109.46776279]
 [106.15609988 106.59058571]
 [132.34060595 115.73227954]
 [ 97.10642329 117.88832362]
 [148.83854641 145.72759931]
 [ 93.32433665 140.32062517]
 [174.46989302 114.91464682]
 [ 42.45781602 122.85375274]
 [165.5557936   66.22561602]
 [ 55.5403428   70.49742743]
 [132.46911475 252.72382699]
 [ 93.45938138 265.98829653]
 [136.97519158 329.35124112]
 [ 84.03251789 330.60122784]
 [144.91297725 397.02932344]
 [ 83.66940977 394.96737654]]"
38,"[[109.66756962 116.10531739]
 [116.60378579 109.42672906]
 [106.22139451 106.53723115]
 [132.44451706 115.3428832 ]
 [ 97.15124717 117.89423018]
 [148.78741984 145.91983514]
 [ 93.4991547  140.21140589]
 [174.47843478 114.35862853]
 [ 42.41567902 122.80729804]
 [165.65462551  66.06070746]
 [ 55.79007879  70.69359084]
 [132.3425698  252.73643483]
 [ 93.49317788 266.04714804]
 [137.38318423 329.18229343]
 [ 84.05056233 330.64556126]
 [144.76323735 397.05541014]
 [ 83.95364362 394.87447128]]"
39,"[[109.1602676  117.16220487]
 [116.5219361  110.53082689]
 [105.4809902  107.47437167]
 [131.96741072 115.45742123]
 [ 98.70035515 115.8336558 ]
 [152.93460011 141.89136609]
 [ 92.14553011 138.1487931 ]
 [173.87453292 118.02545057]
 [ 51.50974967 120.9352184 ]
 [162.55451633  58.3026093 ]
 [ 61.27335166  66.46492684]
 [131.5863961  252.89066412]
 [ 87.83907911 251.73790914]
 [137.235025   329.06511434]
 [ 85.93498609 332.89146887]
 [145.44051412 396.84079692]
 [ 83.45022098 394.81133577]]"
40,"[[108.7555959  117.23402582]
 [116.31715927 110.38230592]
 [105.31826775 107.37234305]
 [131.96667636 115.15990375]
 [ 98.55386589 115.85633919]
 [153.16519278 142.10245167]
 [ 92.18963962 138.04230779]
 [174.04980212 118.02918612]
 [ 51.70394693 120.87247109]
 [162.44680215  58.19067055]
 [ 61.292429    66.47087761]
 [131.47343279 252.83706676]
 [ 87.85024409 251.80703894]
 [137.5956455  328.7135712 ]
 [ 85.71221814 332.68066718]
 [145.81364038 396.44886382]
 [ 83.321353   394.61222702]]"
41,"[[109.04415761 116.84999623]
 [116.79201955 110.13349079]
 [105.64104711 107.1400654 ]
 [130.4353256  115.20569598]
 [ 99.06658963 113.81017374]
 [151.57859385 140.67065592]
 [ 94.67816716 137.32913802]
 [179.95670508 108.09571721]
 [ 52.3719949  110.57250647]
 [155.50057176  60.25103565]
 [ 65.75359498  63.69676666]
 [131.45882124 252.04098025]
 [ 87.8289187  252.05168991]
 [137.73539725 328.54556223]
 [ 85.71625778 332.89968459]
 [145.90821807 396.76632213]
 [ 83.46149292 394.73418779]]"
